Name,Smile,Vendor
Z381193782,Cn1cnnc1-c1ccc(NS(=O)(=O)c2ccccc2F)cc1,enamine
Z395889444,O=C(Nc1cccc(-c2ccn[nH]2)c1)C1Cc2ccccc2O1,enamine
Z359457166,O=C(Nc1cccc(-c2ccn[nH]2)c1)c1n[nH]c2ccccc12,enamine
Z359429692,O=S(=O)(Nc1cccc(-c2ccn[nH]2)c1)c1ccc(F)c(F)c1,enamine
Z382842644,O=C(Nc1nc2ccccc2[nH]1)c1ccn(-c2ccccc2)n1,enamine
Z216435220,O=S(=O)(Nc1cccc(S(=O)(=O)NC2CC2)c1)c1ccccc1,enamine
Z279571864,O=C(Nc1ccc(Cl)c2cccnc12)c1n[nH]c2ccccc12,enamine
Z1603613032,O=C(O)Cc1cccc(NC(=O)Cc2c[nH]c3ccccc23)c1,enamine
Z237580964,c1cnn(-c2ccc(CCNc3ncnc4[nH]ncc34)cc2)c1,enamine
Z115613066,Cc1nc2ccc(NS(=O)(=O)c3cc(C(=O)O)ccc3C)cc2s1,enamine
Z391923904,COC(=O)c1ccccc1NC(=O)c1ccn(-c2ccccc2)n1,enamine
Z738067356,O=C(O)c1cccc(S(=O)(=O)Nc2cccc(-n3cccn3)c2)c1,enamine
Z367525546,O=C(O)c1cccc(S(=O)(=O)Nc2ccc(-n3cccn3)cc2)c1,enamine
Z1462482348,Cc1ccc(-c2n[nH]cc2CNc2cccc(-c3cnco3)c2)o1,enamine
Z359458014,O=C(Cc1c[nH]c2ccccc12)Nc1cccc(-c2ccn[nH]2)c1,enamine
Z228663832,O=S(=O)(Nc1cccc(-c2nnnn2C2CC2)c1)c1ccc(Br)s1,enamine
Z1269770945,Cc1oc(C(=O)O)cc1S(=O)(=O)Nc1cccc(-c2nccs2)c1,enamine
Z223685172,Cn1nnnc1-c1cccc(NC(=O)c2n[nH]c3ccccc23)c1,enamine
Z812954002,O=C(Cc1ccccc1C(=O)O)Nc1ccc(-c2nnco2)cc1,enamine
Z56862307,Cc1cccc(NS(=O)(=O)c2ccc3[nH]c(=O)cc(C(=O)O)c3c2)c1,enamine
Z193066720,O=C(O)c1ccc2c(c1)CCN2S(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1,enamine
Z220535354,Cn1nnnc1-c1cccc(NS(=O)(=O)c2cccc(C(=O)O)c2)c1,enamine
Z738067154,Cc1ccc(C(=O)O)cc1S(=O)(=O)Nc1cccc(-n2cccn2)c1,enamine
Z45612769,Cc1c(NS(=O)(=O)c2ccc(F)cc2)c(=O)n(-c2ccccc2)n1C,enamine
Z228663740,O=S(=O)(Nc1cccc(-c2nnnn2C2CC2)c1)c1ccccc1Br,enamine
Z227897942,Cn1nnnc1-c1cccc(NS(=O)(=O)c2c(F)cc(F)cc2Br)c1,enamine
Z359457854,O=C(Nc1cccc(-c2ccn[nH]2)c1)c1n[nH]c(=O)c2ccccc12,enamine
Z452415510,Cc1ccc(-n2cnnn2)cc1NC(=O)Cc1c[nH]c2ccccc12,enamine
Z1278680218,O=C(O)c1ccc(S(=O)(=O)Nc2cccc(-n3cccn3)c2)c(F)c1,enamine
Z644728242,Cc1cc(C2CCCN2Cc2ccc(S(=O)(=O)N3CCCC3)o2)on1,enamine
Z1969817354,COc1cc(=O)c(C(=O)NCC2CCCO2)nn1-c1ccc(F)cc1,enamine
Z145113148,O=C(NCc1ccc(Oc2ccc(F)cc2)cc1)c1ccc(=O)[nH]n1,enamine
Z1171569029,O=C(NC1=NNC(=O)C1c1ccccc1)c1ccc(-c2cnco2)cc1,enamine
Z1171569196,O=C(NC1=NNC(=O)C1c1ccccc1)c1cc(-c2ccccc2)[nH]n1,enamine
Z981161016,CS(=O)Cc1cccc(C(=O)Nc2ccc(Nc3ccccc3)nc2)c1,enamine
Z240381292,O=C(Nc1ncc(Cc2ccc(Cl)cc2)s1)c1cnc2ccccn2c1=O,enamine
Z826164818,CCc1noc(C)c1C(=O)NCc1ccc(-n2ccnc2C)c(F)c1,enamine
Z826164964,Cc1nccn1-c1ccc(CNC(=O)c2cc(Cl)ccn2)cc1F,enamine
Z29001190,Cc1nc(NC(=O)c2nc3nccc(C)n3n2)sc1Cc1ccc2c(c1)OCO2,enamine
Z826167440,Cc1nccn1-c1ccc(CNC(=O)c2cc[nH]n2)cc1F,enamine
Z826168400,Cc1ccc(C(=O)NCc2ccc(-n3ccnc3C)c(F)c2)c(=O)[nH]1,enamine
Z995526758,CC(C)c1nc(COc2nc(-c3ccccc3Cl)no2)no1,enamine
Z1980880512,N#Cc1nccnc1NCc1cccc(-c2nc(-c3ccncc3)no2)c1,enamine
Z1820685763,Cc1cc(=O)c(C(=O)NC2(c3nnc[nH]3)CCC2)nn1-c1ccccc1C(F)(F)F,enamine
Z1839805933,Cc1cc2[nH]ncc2cc1NS(=O)(=O)Cc1cccc(F)c1,enamine
Z1158036170,O=C(Nc1ccnc2ccnn12)c1cnn(-c2ccccc2)c1,enamine
Z1273135493,Cc1nc2ccc(NC(=O)c3ccccc3Cn3cncn3)cc2s1,enamine
Z1158038541,O=C(Nc1ccnc2ccnn12)c1cccc(OCc2cccnc2)c1,enamine
Z1158038472,O=C(Nc1ccnc2ccnn12)c1ccn(-c2cccc(Cl)c2)n1,enamine
Z963435122,COc1ccc(OCc2ncc(-c3ccccc3)o2)c(C(N)=O)c1,enamine
Z441792772,Cc1nn(-c2ccccc2F)c(C)c1CC(=O)Nc1nnc(C2CC2)s1,enamine
Z383168024,COC(=O)c1cc(-c2csc(NC(=O)c3cc4ccc(C)cc4nc3C)n2)c[nH]1,enamine
Z285689534,FC(F)(F)c1ccnc(Oc2ccc(-c3nnco3)cc2)n1,enamine
Z846975958,O=c1ccc(-c2ccccc2)nn1Cc1coc(-c2ccc(Br)cc2)n1,enamine
Z426947460,NC(=O)c1ccccc1OCc1ccc(S(=O)(=O)N2CCCC2)o1,enamine
Z424520742,Cc1ccc(C)c(Oc2ccc(CNC(=O)c3ccc(=O)n(-c4ccccc4)n3)cn2)c1,enamine
Z104950892,CCc1nn2c(=O)cc(CNc3ccc(Cl)c(C(F)(F)F)c3)nc2s1,enamine
Z104866940,CCc1nn2c(=O)cc(CNc3ccc(Br)c(C)c3)nc2s1,enamine
Z104748550,CCOC(=O)c1ccc(NCc2cc(=O)n3nc(CC)sc3n2)cc1,enamine
Z104585132,CCc1nn2c(=O)cc(CNc3ccccc3)nc2s1,enamine
Z316942720,O=S(=O)(Cc1coc(-c2ccccc2)n1)Cc1ccc(Cl)cc1Cl,enamine
Z441792708,Cc1nn(-c2ccc(Cl)cc2)c(C)c1CC(=O)Nc1nnc(C2CC2)s1,enamine
Z441792632,Cc1nn(-c2ccc(F)cc2)c(C)c1CC(=O)Nc1nnc(C2CC2)s1,enamine
Z82181082,CCc1nc2ccccc2n1CC(=O)Nc1nnc(C)s1,enamine
Z107011586,c1ccc(-c2cc(COn3nnc4ccccc43)no2)cc1,enamine
